id,text
1,"Nimekuwa nikiweka akiba kidogo kila wiki kwa ajili ya biashara yangu."
2,"I have been saving small amounts every week for my business."
3,"Nimekopa pesa kutoka kwa jirani kwa sababu sina akiba."
4,"I borrowed money from my neighbor because I have no savings."
5,"Chama chetu kinatakiwa tuchangie kila mwezi lakini sina hela sasa hivi."
6,"Our chama requires us to contribute every month but I don't have money right now."
7,"Nimechelewa kulipa deni langu la chama na nina wasiwasi watanitoa."
8,"I am late paying my chama debt and I am worried they will remove me."
9,"Biashara yangu ilipata hasara kubwa baada ya mvua kuharibu bidhaa zangu."
10,"My business suffered a big loss after the rain destroyed my goods."
11,"Nina hofu ya kuchukua mkopo kwa sababu biashara ina hatari nyingi."
12,"I am afraid to take a loan because the business has a lot of risk."
13,"Mtoto wangu ni mgonjwa na nimelazimika kutumia akiba yote kwa matibabu."
14,"My child is sick and I had to use all my savings for treatment."
15,"Ninatumia muda mwingi kutunza wazazi wangu wazee badala ya kufanya biashara."
16,"I spend most of my time caring for my elderly parents instead of running my business."
17,"Sina dhamana ya kutosha kupata mkopo kutoka benki."
18,"I don't have enough collateral to get a loan from the bank."
19,"Nimejiandaa vizuri kifedha na nadhani niko tayari kupata mkopo mkubwa zaidi."
20,"I am financially prepared and I think I am ready for a bigger loan."
21,"Nilijaribu ku-save lakini expenses za watoto zilinimaliza pesa yote."
22,"I tried to save but the children's expenses used up all my money."
23,"Nimeamua kuweka pesa kwenye akaunti ya benki badala ya kuweka nyumbani."
24,"I decided to keep money in a bank account instead of keeping it at home."
25,"Deni langu la biashara linazidi kuongezeka kila mwezi."
26,"My business debt keeps increasing every month."
27,"Chama kimenisaidia sana kupata mtaji wa kuanzisha duka langu."
28,"The chama has really helped me get capital to start my shop."
29,"Nashindwa kulipa mkopo kwa sababu mauzo yamepungua sana."
30,"I am struggling to repay the loan because sales have dropped a lot."
31,"Mume wangu alipoteza kazi na sasa mzigo wa familia uko kwangu peke yangu."
32,"My husband lost his job and now the family burden is on me alone."
33,"Nimeanza kuuza mboga kidogo kidogo ili niweze kuweka akiba."
34,"I started selling small amounts of vegetables so I can save."
35,"Mtoto wangu alilazwa hospitalini na gharama zilikuwa kubwa sana."
36,"My child was hospitalized and the costs were very high."
37,"Sitaki kukopa tena kwa sababu riba ni kubwa mno."
38,"I don't want to borrow again because the interest is too high."
39,"Nimejiunga na chama kipya ili kuongeza akiba yangu ya kila mwezi."
40,"I joined a new chama to increase my monthly savings."
41,"Ninahitaji mtaji zaidi lakini sina dhamana wala mdhamini."
42,"I need more capital but I have no collateral or guarantor."
43,"Kutunza watoto na kuendesha biashara kwa wakati mmoja ni ngumu sana."
44,"Taking care of children and running a business at the same time is very hard."
45,"Nilikopa kwa benki mara ya kwanza na nimeweza kulipa kwa wakati."
46,"I borrowed from the bank for the first time and managed to pay on time."
47,"Biashara yangu iko hatarini kwa sababu ya ushindani mkubwa sokoni."
48,"My business is at risk because of heavy competition in the market."
49,"Ninaogopa kushindwa kulipa deni na kuaibika mbele ya chama."
50,"I am afraid of failing to pay the debt and being embarrassed in front of the chama."
51,"Nimeweka akiba ya kutosha na sasa naomba mkopo wa kupanua duka."
52,"I have saved enough and now I am applying for a loan to expand my shop."
53,"Mwanangu ana ugonjwa wa muda mrefu na hii inanigharimu sana kifedha."
54,"My son has a long-term illness and this is costing me a lot financially."
55,"Nashindwa kuhudhuria mikutano ya chama kwa sababu ya majukumu ya nyumbani."
56,"I struggle to attend chama meetings because of household responsibilities."
57,"Nimepata mafunzo ya biashara na sasa naelewa vizuri hatari za kifedha."
58,"I received business training and now I understand financial risks better."
59,"Deni la shule la watoto linanisumbua sana mwezi huu."
60,"My children's school debt is troubling me a lot this month."
61,"Nina uwezo wa kulipa mkopo kwa sababu biashara yangu inakua vizuri."
62,"I am able to repay a loan because my business is growing well."
63,"Nililazimika ku-borrow kwa jirani kwa sababu mtoto alikuwa mgonjwa ghafla."
64,"I had to borrow from a neighbor because my child suddenly fell ill."
65,"Chama chetu kinapanga kutoa mikopo midogo kwa wanachama wenye dhamana."
66,"Our chama plans to give small loans to members with collateral."
67,"Nina wasiwasi kuwa akiba yangu haitoshi kwa dharura yoyote ya kiafya."
68,"I am worried my savings are not enough for any health emergency."
69,"Ninafanya kazi mbili ili niweze kulipa deni na kutunza familia."
70,"I do two jobs so I can pay off debt and take care of my family."
71,"Biashara yangu ilianza vizuri lakini sasa iko kwenye hatari ya kufungwa."
72,"My business started well but is now at risk of closing."
73,"Sijawahi kuchukua mkopo kwa sababu naogopa riba na masharti magumu."
74,"I have never taken a loan because I am afraid of interest and hard conditions."
75,"Nimejiwekea lengo la kuweka akiba kila siku hata kama ni kidogo."
76,"I have set a goal to save every day even if it's a small amount."
77,"Mgonjwa wa nyumbani ananitumia muda mwingi kuliko biashara yangu."
78,"Caring for a sick family member takes more of my time than my business."
79,"Nimeshindwa kutimiza wajibu wa chama mara kadhaa mwaka huu."
80,"I have failed to meet my chama obligations several times this year."
81,"Nataka kujua kama niko tayari kifedha kuchukua mkopo mkubwa."
82,"I want to know if I am financially ready to take a large loan."
83,"Gharama za hospitali za mtoto wangu zilinilazimu kuuza mali yangu."
84,"My child's hospital costs forced me to sell my property."
85,"Nimepanga kuongeza mtaji wa biashara kwa kutumia akiba na mkopo mdogo."
86,"I plan to increase my business capital using savings and a small loan."
87,"Wanachama wa chama wananisaidia kila ninapokuwa na dharura."
88,"My chama members help me whenever I have an emergency."
89,"Sina uhakika kama biashara yangu itaweza kulipa mkopo huu kwa wakati."
90,"I am not sure if my business will be able to repay this loan on time."
91,"Nimejifunza kutunza watoto na kufanya biashara kidogo nyumbani."
92,"I have learned to care for children and run a small business from home."
93,"Deni la duka langu linaendelea kuongezeka kwa sababu ya bei za bidhaa."
94,"My shop's debt keeps growing because of product prices."
95,"Nina mpango wa kuweka akiba maalum kwa ajili ya dharura za kiafya."
96,"I have a plan to set aside special savings for health emergencies."
97,"Nimepata mkopo wa kwanza kupitia chama na nimeanza kuulipa vizuri."
98,"I got my first loan through the chama and I have started repaying it well."
99,"Kutunza wagonjwa nyumbani kunanifanya nishindwe kufanya biashara vizuri."
100,"Caring for sick relatives at home makes it hard for me to run my business well."
